,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
10,1.2272,1.2618,1.2962,1.3307,1.3651,1.3997,1.5042,1.4688,1.5034,1.5379,1.6425,1.667,1.6416,1.6761,1.7106,1.7451,1.7797,1.8143,1.8489,1.8835,1.9182,2.0523,1.9865,2.0196,2.0507,2.0002999999999997,2.2007999999999996,2.1432,2.176,2.2095,0.893,0.89539,0.89878,0.90187,0.90481,0.90679,0.9088,0.91044,0.91191,0.82362,0.9156,0.99783,0.91998,0.92211,0.8352,0.99811,0.9275,0.92783,0.92669,0.92568,0.92547,0.8599699999999999,0.91483,0.90465,0.88952,0.87159,0.85536,0.84311,0.83217,0.82317
11,1.2226,1.257,1.3812,1.3255,1.2802,1.395,1.4297,1.4645,1.5693000000000001,1.534,1.5686,1.6031,1.6377,1.6724,1.7072,1.7419,1.7767,1.8113,1.846,1.8207,1.9154,1.9501,1.9844,2.0182,1.9603999999999997,2.081,2.1125,2.1447,2.1769,2.2095,0.88369,0.95859,0.8949,0.90093,0.90312,0.90327,0.90375,0.90396,0.90458,0.9067,0.81025,0.91428,1.00781,0.92026,0.922,0.92348,0.92508,0.9279,1.02062,0.93356,1.00138,0.92938,0.92362,1.00547,0.90239,0.88585,0.87103,0.85787,0.84475,0.83248
12,1.2226,1.2569,1.2911,1.2354999999999998,1.3598,1.4743000000000002,1.4287,1.4631,1.4975,1.5319,1.4763,1.6007,1.635,1.5793,1.7035,1.7377,1.7718,1.7361,1.7804,1.8748,1.9093,1.9436,1.9782,2.0114,2.0443,2.0763,2.1083,2.1397,2.0902,2.2002,0.893,0.8954,0.89931,0.90173,0.90251,0.9012,0.90153,0.8118000000000001,0.90261,0.90415,0.90619,0.90855,0.91121,0.91461,0.91831,0.92245,0.92668,0.9303,0.93271,0.93425,0.93493,0.8338,0.9329,0.92453,0.91444,0.90163,0.88887,0.9447300000000001,0.85873,0.84179
13,1.2226,1.2566,1.2105,1.3245,1.3584,1.3324,1.4263,1.4603,1.4943,1.5283,1.5622,1.596,1.6298,1.6636,1.6972,1.7309,1.7046,1.7984,1.8323,1.8662,1.9002,1.8541999999999998,1.9681,2.0021,2.036,2.0698,2.1025,2.1321,2.1585,2.1815,0.90231,0.90314,0.90426,0.90361,0.90254,0.90014,0.899,0.89811,0.82786,0.89859,0.90069,0.9938199999999999,0.80745,0.9115,0.91614,0.83075,0.925,0.92837,0.93115,0.9335,0.93501,0.93538,0.93515,0.8544200000000001,0.93219,0.86813,0.91873,0.90217,0.88078,0.85576
14,1.2226,1.257,1.2914,1.3259,1.2802,1.3946,1.4289,1.4034,1.4978,1.5323,1.6267,1.6011,1.6355,1.6698,1.7041,1.7383,1.7726,1.8068,1.841,1.8751,1.9092,1.9434,1.9778,2.0123,2.1363,2.0795,2.1125,2.214,2.1728,2.2002,0.90696,0.90794,0.90878,0.90893,0.90806,0.90469,0.90298,0.90234,0.97244,0.90297,0.90395,0.9055,0.90751,0.91037,0.82376,0.91739,0.92109,0.84463,0.83863,0.9335,0.93846,0.94236,0.94422,1.00319,0.93769,0.92877,0.91886,0.90496,0.88592,0.86507
15,1.2272,1.2617,1.2962,1.2505,1.3648,1.3292,1.4336,1.538,1.5025,1.537,1.4713999999999998,1.6059,1.5804,1.6748,1.7091,1.6635,1.7778,1.9020000000000001,1.8462,1.8803,1.9144,2.0183999999999997,1.9825,2.0169,2.1412999999999998,2.0858,2.119,2.0907,2.1785,2.2748,0.90696,0.90667,0.9075,0.91073,0.91117,0.90758,0.90561,0.90381,0.90286,0.90294,0.90381,0.90491,0.9061,0.90771,0.91085,0.91404,0.91757,0.92138,0.92581,0.93094,0.9964200000000001,0.94201,0.94663,0.95008,0.95083,0.94899,0.93964,0.84658,0.9059,0.88369
16,1.2226,1.2572,1.2217,1.3264,1.2809,1.3953,1.4298,1.4645,1.5891000000000002,1.6039,1.5686,1.6733,1.638,1.6728,1.7074,1.6817,1.776,1.8104,1.8446,1.8786,1.8426,1.8864999999999998,1.981,2.0156,2.0502,2.0849,2.1195,2.1531,2.1841,2.2141,0.90696,0.91023,0.9136,0.91627,0.8541599999999999,0.90909,0.90554,0.90262,0.90069,0.89966,0.89894,0.89831,0.8378599999999999,0.89814,0.90089,0.9664200000000001,0.91167,0.91686,0.92295,0.92972,0.85697,0.94459,0.94787,0.95149,0.95465,0.8959699999999999,0.95378,0.94469,0.92917,0.91162
17,1.2226,1.2573,1.2921,1.4169,1.3615,1.3962,1.4309,1.4656,1.5004,1.5352,1.57,1.6049,1.6397,1.6745,1.7093,1.744,1.7786,1.8131,1.7676999999999998,1.8821,1.9763,2.0505999999999998,1.9851,2.0196,2.0541,2.0887,2.1236,2.1579,2.2811,2.2234,0.91162,0.91364,0.91582,0.91738,0.91374,0.82035,0.9071,0.90446,0.90277,0.90207,0.90169,0.90156,0.90172,0.90224,0.9037,0.90675,0.91079,0.91526,0.91977,0.9251,0.93142,0.85751,0.9424,0.94732,0.9523,1.02551,1.02498,0.94896,0.83864,0.92558
18,1.2226,1.2569,1.2914,1.2558,1.3601,1.4843000000000002,1.4286,1.4029,1.4973,1.5318,1.5662,1.5307,1.6351,1.6696,1.7041,1.7384,1.7127,1.8069,1.8411,1.9653,1.9093,1.9431,1.9761,2.009,2.0422,2.0164,2.1109,2.1453,2.2698,2.2141,0.92093,0.91837,1.0077800000000001,0.91724,0.91301,0.83907,0.9055,0.90259,0.90064,0.83959,0.8986,0.89759,0.89667,0.89617,0.89733,0.89999,0.90364,0.90782,0.91216,0.91665,0.92184,0.99902,0.93865,0.94908,0.95837,0.96256,0.96284,0.96229,0.96092,0.95817
19,1.2179,1.1722,1.3565,1.3212,1.3557,1.3000999999999998,1.4246,1.4591,1.4937,1.5284,1.563,1.6677,1.6323,1.667,1.7017,1.7363,1.771,1.7455,1.8399,1.8742,1.9086,1.9429,1.977,2.0103,2.0427,2.0758,2.1103,2.145,2.1796,2.1441000000000003,0.91162,0.91682,0.92186,0.92342,0.92102,0.91681,0.91327,0.91,0.90751,0.90569,0.90425,0.90288,0.84176,0.90099,0.90028,0.89992,0.90128,0.90435,0.90871,0.85371,0.9187,0.84386,1.03011,0.9396,0.95213,1.04244,0.965,0.96393,0.96171,0.95817
20,1.2226,1.3471000000000002,1.2915,1.326,1.3603,1.3947,1.4291,1.5337,1.5982,1.6129,1.5675,1.6021,1.6367,1.6713,1.7059,1.7405,1.7749,1.8095,1.8441,1.8785,2.0028,1.9469,1.9807,2.014,2.0465,2.0779,2.1112,2.1459,2.1803,2.2141,0.91627,0.91926,0.92289,0.92579,0.85147,0.85747,0.82379,0.91109,0.90957,0.90852,0.90764,0.82681,0.90594,0.90498,0.90393,0.90123,0.90374,0.90479,0.90709,0.91063,0.91553,0.92175,0.92912,0.9385,0.9504,0.96505,1.06425,0.97366,0.9704,0.96282
21,1.2272,1.262,1.2969,1.3316,1.2962,1.4608,1.4355,1.3801999999999999,1.505,1.5998,1.5746,1.6093,1.6441,1.6789,1.7137,1.7485,1.7833,1.8181,1.8529,1.8876,1.8321999999999998,1.9566,1.9907,2.0825,2.0529,2.0853,2.1196,2.154,2.1886,2.2234,0.92558,0.92461,0.924,0.92353,0.91921,0.9155,0.91227,0.90995,0.90847,0.90674,0.90476,0.90279,0.90102,0.79972,0.89907,0.89901,0.89942,0.90016,0.90157,0.90449,0.90871,0.91389,0.92117,0.93532,0.8923,0.9649,0.97129,0.97648,0.9801,0.98144
22,1.2226,1.257,1.2914,1.3263,1.2912,1.3962,1.4311,1.466,1.4009999999999998,1.476,1.571,1.606,1.641,1.6759,1.7108,1.7457,1.7805,1.7454999999999998,1.7505,1.8856,1.9204,1.9552,1.9897,2.0227,2.1543,2.0063,2.1198,2.1541,2.1886,2.1633999999999998,0.91162,0.8481399999999999,0.92461,0.92747,0.92553,0.92222,0.91942,0.91687,0.91534,0.91401,0.91222,0.85029,0.90824,0.90588,0.90265,0.89895,0.8956,0.89342,0.89311,0.89462,0.89788,0.90198,0.90813,0.91992,0.93501,0.94935,0.95951,0.96695,0.97294,0.97679
23,1.2179,1.2524,1.2067999999999999,1.3213,1.3558,1.3904,1.335,1.4596,1.4942,1.5288,1.5634,1.598,1.7026000000000001,1.6671,1.7017,1.7363,1.6907999999999999,1.8054,1.84,1.8746,1.9092,1.8638,1.9782,1.9425000000000001,2.046,2.1681999999999997,2.1103,2.1432,2.1762,2.2095,0.91627,0.9201,0.92412,0.92716,0.92427,1.00202,0.91988,0.91794,0.91614,0.9744200000000001,0.9127,0.91072,0.90841,0.90532,0.90285,0.90067,0.89805,0.8956,0.89345,0.89333,0.89447,0.89738,0.90107,0.90622,0.91517,0.92795,0.94097,0.95197,0.96226,0.97213
24,1.2272,1.262,1.2967,1.3313,1.3661,1.311,1.3658,1.4706,1.5054,1.4602,1.5749,1.6096,1.5542,1.6789,1.7135,1.6681,1.7827,1.8173,1.8518,1.8865,1.9213,1.9561,1.9907,2.0242,2.0563,2.0885,2.1211,2.1538,2.1862,2.2188,0.91627,0.91593,0.91956,0.92314,0.92336,0.92367,0.92382,0.92375,0.92321,0.82147,1.00865,0.91531,0.91164,0.82806,0.99436,0.90055,0.89672,0.89229,0.88798,0.88469,0.88581,0.8871,0.89124,0.90079,0.91417,0.92759,0.93984,0.95172,0.96454,0.97679
25,1.2226,1.1764,1.29,1.3239,1.3582,1.3926,1.427,1.4613,1.4957,1.6101,1.4745,1.5988,1.6331,1.6673,1.7015,1.8057,1.7699,1.8041,1.8383,1.8726,1.9069,1.9411,1.9754,2.0094,2.1329,2.1469,2.1093,2.1401,2.1683,2.1955,0.90231,0.90824,0.9158,0.92158,0.8512599999999999,0.92,0.91943,0.91856,0.91795,0.91739,0.91608,0.91404,0.9114,0.90818,0.82467,0.90098,0.89708,0.8935,0.89043,0.88757,0.88455,0.88147,0.88105,0.9767199999999999,0.89493,0.8997,0.99166,0.92666,0.94651,0.96748
26,1.2226,1.2564,1.29,1.3239,1.3581,1.3926,1.427,1.4614,1.5859,1.5303,1.5647,1.5992,1.6336,1.668,1.7022,1.7364,1.8705,1.8046,1.8387,1.8726,1.9067,1.941,1.9055,2.0097,2.0432,2.0773,2.1098,2.1418,2.1712,2.2002,0.89765,0.90423,0.91141,0.91804,0.92028,0.9198,0.92034,0.92076,1.01093,0.92063,0.91991,0.91882,0.8175,0.91581,0.91273,0.90827,0.90328,0.89845,0.8936,0.88811,0.7930200000000001,0.87983,0.87859,0.88083,0.88929,0.89242,0.90439,0.91681,0.93493,0.95351
27,1.2226,1.257,1.2912,1.3254,1.3599,1.3945,1.4291,1.4639,1.4986,1.5334,1.5682,1.6029,1.6377,1.6724,1.7069,1.7413,1.7156,1.8099,1.8442,1.8785,1.9129,1.8575,1.9821,2.0168,2.0516,2.0862,2.1203,2.083,2.184,2.1441000000000003,0.89765,0.90282,0.90894,0.91501,0.91962,0.92289,0.92588,0.92755,0.83794,0.92773,0.92736,0.92688,0.9961899999999999,0.92395,0.91983,0.91441,0.90871,0.8433299999999999,0.89755,0.89182,0.80669,0.88299,0.88009,0.87825,0.78956,0.8833,0.89002,0.90183,0.91745,0.93489
28,1.2226,1.2572,1.3616000000000001,1.326,1.3605,1.3951,1.4296,1.4643,1.499,1.5337,1.5685,1.6033,1.638,1.6728,1.7075,1.742,1.7762,1.8104,1.8446,1.8787,1.9127,1.9468,1.9813,2.0759,1.9806000000000001,2.0854,2.0500000000000003,2.1539,2.2567999999999997,2.1588,0.89765,0.90111,0.90582,0.91075,0.91529,0.91899,0.92279,0.92569,0.92738,0.86798,0.92841,0.92859,0.9285,0.92808,0.92634,0.92183,0.91582,0.90953,0.90347,0.89641,0.88912,0.88273,0.87824,0.87481,0.87236,0.87171,0.87433,0.88198,0.8933,0.90696
29,1.2272,1.262,1.2965,1.3309,1.3655,1.4003,1.435,1.4698,1.5047,1.5396,1.5746,1.6095,1.6444,1.6793,1.7142,1.6688999999999998,1.7835,1.8179,1.8523,1.8867,1.921,1.9552,1.9895,2.0239,2.0585,2.0934,2.1283,2.1631,2.198,2.2327,0.893,0.89675,0.90179,0.90772,0.9124,0.91591,0.91926,0.92174,0.92323,0.92402,0.92472,0.92524,0.92548,0.92536,0.9938899999999999,0.92032,0.91523,0.90933,0.90331,0.89756,0.89113,0.88395,0.87717,0.87139,0.86681,0.86506,0.86667,0.86858,0.87104,0.87438
30,1.2412,1.1848999999999998,1.3081,1.3411,1.3747,1.4087,1.4426,1.4765,1.5105,1.5445,1.5785,1.6124,1.6464,1.6804,1.7144,1.7484,1.7823,1.7462,1.8501,1.8839,1.9172,1.9502,1.9832,2.0163,2.0491,2.0821,2.1157,2.0897,2.1826,2.2141,0.88834,0.89299,0.89991,0.9682900000000001,0.91336,0.9153,0.9176,0.91949,0.92095,0.92203,0.92295,0.92354,0.92371,0.92336,0.92236,0.92081,0.91875,0.91624,0.91335,0.90938,0.90271,0.89459,0.88643,0.87857,0.86971,0.77142,0.85631,0.85782,0.86633,0.87903
31,1.2319,1.266,1.2995,1.333,1.367,1.4013,1.3755,1.4698,1.5041,1.5384,1.5727,1.607,1.6413,1.6757,1.71,1.7443,1.8585,1.8127,1.8469,1.881,1.915,1.9487,1.9824,2.0159,2.0495,2.0831,2.117,2.151,2.1849,2.2188,0.88369,0.88808,0.83585,0.90354,0.81833,0.91153,0.91453,0.91693,0.91906,0.92148,0.8442200000000001,0.92683,0.92891,0.9893900000000001,0.92773,0.92493,0.92148,0.91787,0.9144,0.9103,0.90478,0.89833,0.89128,0.88358,0.87611,0.8692,0.86342,0.85818,0.85224,0.84645
32,1.2272,1.2613,1.295,1.3286,1.3627,1.3971,1.4315,1.466,1.5005,1.535,1.6494,1.6039,1.5384,1.6729,1.7075,1.742,1.7765,1.811,1.8455,1.8798,1.9939,1.9479,1.9018,2.0155,2.0488,2.082,2.1156,2.0599000000000003,2.1843,2.2188,0.87903,0.88487,0.89236,0.8308199999999999,0.90616,0.90943,0.91254,0.9750000000000001,0.91728,0.84002,0.9229,0.92555,0.92739,0.92787,0.92683,0.92532,0.9234,0.92119,0.91855,0.91452,0.909,0.90259,0.89581,0.88837,0.78901,0.86936,0.86129,0.8566,0.85339,0.8511
33,1.2319,1.3666,1.3012,1.3358,1.3702,1.3349,1.4396,1.4743,1.509,1.5437,1.5783,1.5329,1.6476,1.7722,1.6169,1.7517,1.7864,1.8211,1.8557,1.8902,1.9246,1.9589,1.9929,2.0263,1.979,2.0917,2.1252,2.1593,2.1936,2.2281,0.88834,0.96096,0.89401,0.89804,0.90274,0.81564,0.90823,0.97052,0.91257,0.9149,0.91814,0.86173,0.92496,0.92777,0.93039,0.93146,0.93069,0.92807,0.92436,0.91997,0.91473,0.90885,0.90184,0.89202,0.88012,0.86843,0.85898,0.85212,0.84619,0.84179
34,1.2272,1.2617,1.2959,1.3299,1.3641,1.3985,1.4328,1.5272000000000001,1.5016,1.5359,1.5701,1.6744,1.6387,1.673,1.7074,1.7418,1.7762,1.8107,1.7851,1.7994999999999999,1.9137,1.9478,1.9814,2.0142,2.046,2.0076,2.1091,2.142,2.1755,2.2095,0.893,0.89395,0.89698,0.9024,0.9663700000000001,0.90881,0.91106,0.91322,0.91562,0.91853,0.8319000000000001,0.92539,0.9286,0.93088,1.00258,0.93376,0.8744099999999999,0.93492,0.93465,0.93277,0.84933,0.92409,0.91667,0.90609,0.89289,0.97925,0.86532,0.85514,0.92723,0.84179
35,1.2272,1.3516000000000001,1.2957,1.33,1.3644,1.3989,1.4334,1.4679,1.5023,1.4665,1.5705,1.6947,1.639,1.6733,1.7076,1.7419,1.7764,1.8108,1.8453,1.9397,1.9141,1.9486,1.9826,2.0157,2.0477,2.0793,2.1109,2.0826,2.1039000000000003,2.2048,0.893,0.95572,0.90084,0.90371,0.90459,0.90333,0.90379,0.90469,0.81723,0.91164,0.9171,0.92183,0.9253,0.92871,0.93212,0.93551,0.93616,0.93833,0.94047,1.00889,0.9381,0.93584,0.93067,0.92094,0.82811,0.89418,0.88042,0.86697,0.92239,0.83714
36,1.2226,1.2568,1.291,1.3254,1.3599,1.3946,1.4293,1.5439,1.5786,1.5332,1.5678,1.6024,1.6369,1.6713,1.7056,1.8301,1.7747,1.8091,1.8437,1.8784,1.913,1.9476,2.0721,2.0164,2.0497,2.0017,2.1133,2.1451,2.1773,2.2095,0.893,0.8383999999999999,0.90424,0.90848,0.90989,0.90866,0.90854,0.90905,0.9102,0.912,0.91423,0.9166,0.91939,1.02416,0.8386600000000001,0.93297,0.93462,0.9387,0.93923,0.94007,0.93875,0.93624,0.93316,0.86786,0.91819,0.96492,0.8906,0.87695,0.86393,0.7611
37,1.2319,1.1858,1.2994,1.3334,1.3675,1.4017,1.4358,1.4699,1.5041,1.5382,1.5723,1.5364,1.7204000000000002,1.6741,1.7077,1.7413,1.7751,1.8091,1.9032,1.8773,1.9114,1.9456,1.9797,2.0136,2.0475,2.0794,2.1119,2.2413000000000003,2.1689,2.1955,0.89765,0.83188,0.90786,0.91081,0.91001,0.90864,0.90791,0.90726,0.90729,0.97827,0.81027,0.91274,0.916,0.92133,0.92737,0.93341,0.93813,0.94144,0.8637900000000001,0.94544,0.94652,0.94729,0.94635,0.94204,0.8668899999999999,0.92503,0.91485,0.8972,0.87718,0.85576
38,1.2319,1.2661,1.3003,1.3345,1.3687,1.4028,1.497,1.4712,1.5054,1.5396,1.5737,1.6077,1.6418,1.6759,1.7099,1.7438,1.7776,1.8114,1.8451,1.8791,1.8431,1.9473,1.9815,2.0157,2.0498,2.0834,2.1166,2.2425,2.1676,2.1908,0.90696,0.90845,0.90973,0.90792,0.90577,0.90323,0.90115,0.90006,0.9601200000000001,0.90168,0.84534,0.90901,0.91244,0.9156,0.91937,0.92422,1.01951,0.93537,0.94091,0.94557,0.94929,0.95106,0.86107,0.95008,0.94654,0.86067,0.93086,0.90881,0.88562,0.9204100000000001
39,1.2319,1.2665,1.3011,1.3356,1.3702,1.4047,1.4393,1.4739,1.5085,1.4429999999999998,1.5776,1.7022000000000002,1.6467,1.6812,1.7156,1.7499,1.7841,1.8182,1.8524,1.8864,1.9203,1.9543,1.9887,2.0233,2.0578,2.092,2.1254,2.1567,2.186,2.2141,0.91162,0.91219,0.81247,0.81272,0.91108,0.9097,0.90853,0.84754,0.90645,0.90546,0.90535,0.90624,0.90803,0.91065,0.91425,0.9189,0.8542000000000001,1.02955,0.93495,0.94141,0.94836,0.95434,0.95798,0.95839,1.03573,0.95061,0.94157,0.92684,0.90852,0.88834
40,1.2272,1.2619,1.2966,1.3312,1.3658,1.4004,1.435,1.4696,1.5043,1.539,1.5737,1.6084,1.6431,1.6777,1.7123,1.7465,1.7806,1.9047,1.929,1.8832,1.9174,1.952,2.0465,2.0211,2.0557,2.0904,2.1249,2.158,2.109,2.2188,0.91627,0.9773000000000001,0.91761,0.91562,0.91343,0.90962,0.907,0.90517,0.90465,0.9051,0.90604,0.90737,0.9689800000000001,0.83086,1.00418,0.92006,0.92654,0.93261,0.93823,0.94375,0.94992,0.95222,0.95587,0.95899,0.96178,0.96322,0.96032,0.94966,0.93404,0.91627
41,1.2412,1.2751,1.309,1.3429,1.3765,1.4101,1.5037,1.4775,1.5114,1.5453,1.5793,1.6132,1.6471,1.7709000000000001,1.7148,1.8286,1.7823,1.8159,1.8496,1.883,1.9862,1.8694,1.9827,2.0961,1.9595,2.083,2.1768,2.1502,2.1807,2.2095,0.92093,0.92268,1.01366,0.92265,0.91753,0.91261,0.90812,0.90469,0.90281,0.90232,0.99279,0.90426,0.90633,0.90862,0.91118,0.91446,0.91836,0.9827100000000001,0.92746,0.8632,0.94013,1.0473000000000001,0.95383,0.85983,0.96617,0.9717,0.97409,0.8978299999999999,0.95283,0.93489
42,1.2365,1.3305,1.3048,1.3389,1.3729,1.4767000000000001,1.4406,1.4745,1.5087,1.5429,1.6372,1.6115,1.6457,1.68,1.7142,1.7484,1.7824,1.8163,1.85,1.8836,1.917,1.9499,1.9827,2.016,2.1497,2.0835,2.1176,2.1518,2.1856,2.2188,0.92558,0.9217,0.92411,0.92554,0.92089,0.91557,0.91015,0.90557,0.90265,0.90154,0.90107,0.90116,0.90175,0.9028,0.90427,0.90655,0.81057,0.91591,1.0021,0.92871,0.9363,0.946,0.95582,0.96388,0.97008,0.97575,0.9789,0.97707,0.97152,0.87282
